Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
709,0.591858,,,709,14.5421,
710,0.574499,,,710,14.1684,
711,0.557644,,,711,13.8022,
712,0.542537,,,712,13.4754,
713,0.525066,,,713,13.1266,
714,0.507319,,,714,12.7692,
715,0.491546,,,715,12.4255,
716,0.478703,,,716,12.1216,
717,0.464887,,,717,11.8023,
718,0.450998,,,718,11.4781,
719,0.438056,,,719,11.1663,
720,0.42612,,,720,10.8867,
721,0.414957,,,721,10.5879,
722,0.402815,,,722,10.2795,
723,0.388996,,,723,9.97961,
724,0.375948,,,724,9.71034,
725,0.363756,,,725,9.46776,
726,0.352743,,,726,9.21854,
727,0.342818,,,727,8.94801,
728,0.332665,,,728,8.67942,
729,0.322341,,,729,8.43808,
730,0.312421,,,730,8.20059,
731,0.303137,,,731,7.96617,
732,0.29435,,,732,7.7567,
733,0.285639,,,733,7.54688,
734,0.276979,,,734,7.32913,
735,0.268365,,,735,7.10936,
736,0.259828,,,736,6.90673,
737,0.25164,,,737,6.70441,
738,0.243638,,,738,6.51223,
739,0.235682,,,739,6.3322,
740,0.227901,,,740,6.16101,
741,0.22234,,,741,5.98027,
742,0.216326,,,742,5.80002,
743,0.20997,,,743,5.62068,
744,0.203685,,,744,5.44481,
745,0.19761,,,745,5.2832,
746,0.192047,,,746,5.1294,
747,0.186821,,,747,4.98484,
748,0.18174,,,748,4.84479,
749,0.176608,,,749,4.69862,
750,0.171499,,,750,4.55629,
751,0.165948,,,751,4.41992,
752,0.160513,,,752,4.28799,
753,0.155958,,,753,4.15785,
754,0.151513,,,754,4.02997,
755,0.147521,,,755,3.91199,
756,0.1436,,,756,3.79958,
757,0.139568,,,757,3.68882,
758,0.136031,,,758,3.58127,
759,0.131416,,,759,3.47177,
760,0.127483,,,760,3.36518,
761,0.124258,,,761,3.26333,
762,0.120884,,,762,3.16653,
763,0.116887,,,763,3.07829,
764,0.113036,,,764,2.98415,
765,0.109958,,,765,2.88475,
